B,B_norm,F1,FPS,M1,Q1,Q_aux,Q_discriminator,Q_fb,actor_loss,auxQ1,aux_critic_loss,aux_rew/limits_dof_pos,aux_rew/limits_torque,aux_rew/penalty_action_rate,aux_rew/penalty_ankle_roll,aux_rew/penalty_feet_ori,aux_rew/penalty_slippage,aux_rew/penalty_torques,aux_rew/penalty_undesired_contact,critic_loss,disc_expert_loss,disc_loss,disc_train_loss,disc_wgan_gp_loss,duration [minutes],fb_diag,fb_loss,fb_offdiag,mean_aux_reward,mean_disc_reward,mean_next_Q,mean_next_auxQ,orth_loss,orth_loss_diag,orth_loss_offdiag,q_loss,target_M,target_Q,target_auxQ,timestep,unc_Q,unc_auxQ,z_norm
0.003848,16.0,0.135937,1047.2698233945043,45.613537,-152.634445,-66.583366,-151.990616,1383.086182,10983.553711,-66.644569,1.4095,0.063,5.355929,14.065148,0.132219,0.454114,0.418154,12251.280273,0.687183,3.716703,0.043416,0.116007,0.045495,0.00271,68.6528912226359,-267.393921,-12113.158203,776.963989,-1.767384,-4.002831,-151.246185,-65.955284,-126.227043,-256.0,129.77272,0.0,45.305347,-152.634262,-66.645027,4224000,0.837036,0.492563,15.999989
0.003982,16.0,0.190878,1046.3078654434948,45.1409,-155.840759,-72.35743,-155.236404,1409.812012,11594.112305,-72.414673,1.329949,0.060665,4.845092,12.310865,0.131861,0.458526,0.397851,11571.069336,0.622461,2.881314,0.042961,0.110228,0.044776,0.002249,74.77442968289057,-281.959503,-12178.219727,817.626099,-1.762538,-4.034876,-154.501328,-71.841049,-127.138603,-255.999969,128.861084,0.0,44.810425,-155.840866,-72.414986,4608000,0.805485,0.506689,16.000011
0.003613,16.0,0.298998,1046.9769628543174,47.725426,-160.291763,-76.423157,-159.760666,1446.405762,12342.580078,-76.432587,1.594984,0.06007,4.5533,10.382438,0.132243,0.445436,0.371661,11018.097656,0.541934,3.383612,0.044276,0.109146,0.046083,0.001879,80.89219332933426,-291.366547,-12072.806641,892.141479,-1.760906,-4.084691,-158.995193,-75.930992,-126.735893,-255.999969,129.263718,0.0,47.43541,-160.291901,-76.432877,4992000,0.800615,0.529605,15.999976
0.003434,16.0,0.29644,1046.2781334468784,48.850212,-164.778503,-79.139282,-164.274231,1468.186768,12941.350586,-79.120216,1.679101,0.057387,4.430084,9.157325,0.132471,0.4354,0.349569,10554.669922,0.473773,3.309252,0.04271,0.103249,0.044311,0.001623,87.01385251283645,-301.993988,-12082.0,901.912048,-1.775806,-4.149281,-163.508713,-78.649918,-126.819321,-256.0,129.180328,0.0,48.569828,-164.778778,-79.120499,5376000,0.797784,0.546693,15.999986
0.003362,16.0,0.264294,1047.554152526296,48.088818,-170.914307,-82.455704,-170.472076,1500.397949,13791.339844,-82.400574,1.709169,0.056434,4.375781,8.171617,0.13288,0.427274,0.32559,10170.174805,0.413254,3.14339,0.041079,0.098069,0.042571,0.001442,93.1281337181727,-311.958405,-12061.725586,928.729248,-1.801913,-4.226363,-169.69313,-81.96907,-126.784958,-255.999969,129.214706,0.0,47.780239,-170.914505,-82.400688,5760000,0.794276,0.549016,15.999989
0.00335,16.0,0.189349,1046.9517035078686,48.40984,-177.617249,-86.703674,-177.215057,1528.81311,14698.702148,-86.578934,1.579983,0.054752,4.367217,7.045053,0.133328,0.421537,0.301431,9733.780273,0.366722,2.348898,0.039054,0.092552,0.04033,0.001317,99.24607787529628,-322.452423,-12168.733398,896.18457,-1.864447,-4.317207,-176.438568,-86.156685,-127.424683,-255.999969,128.574982,0.0,48.097832,-177.617432,-86.579254,6144000,0.797444,0.57412,15.999975
0.003649,16.0,0.159681,1047.0441103895819,49.850368,-183.964325,-90.604126,-183.586105,1578.079468,15789.567383,-90.440247,1.943635,0.051949,4.386145,6.521732,0.1334,0.39848,0.283177,9506.458984,0.344292,3.112226,0.038984,0.091652,0.040243,0.001243,105.36341880162557,-327.089386,-12107.99707,917.165466,-1.882311,-4.40345,-182.820679,-90.07135,-126.980652,-256.0,129.019012,0.0,49.560234,-183.964355,-90.440674,6528000,0.809413,0.588571,15.999975
0.003581,16.0,0.158304,1048.0332586462516,50.08363,-189.588669,-93.947319,-189.212265,1598.533813,16555.640625,-93.809204,1.79697,0.050181,4.423643,6.246204,0.133488,0.386049,0.26824,9256.585938,0.340769,3.032222,0.037967,0.08895,0.039101,0.001188,111.47623422145844,-334.828949,-12094.288086,918.416077,-1.9273,-4.476327,-188.48819,-93.466789,-126.778694,-256.0,129.221008,0.0,49.786095,-189.588684,-93.809364,6912000,0.804265,0.58036,15.999984
0.003521,16.0,0.022639,1047.6519198518117,49.520279,-195.313934,-95.727425,-194.986053,1648.981201,17610.509766,-95.617935,1.701958,0.046759,4.433414,5.952147,0.133451,0.382609,0.255402,8936.950195,0.334268,2.959374,0.036557,0.085624,0.037561,0.001151,117.58984052737554,-341.487762,-12075.894531,924.170837,-1.967037,-4.546873,-194.265472,-95.277122,-126.585518,-255.999969,129.414169,0.0,49.202518,-195.314056,-95.618294,7296000,0.789859,0.570481,15.999972
0.003256,16.0,0.074847,1046.3448603253048,47.380917,-199.387146,-97.951355,-199.026199,1687.744995,18443.041016,-97.790955,1.571551,0.043247,4.384361,5.645766,0.133464,0.382795,0.242128,8561.385742,0.315293,2.189288,0.034551,0.08104,0.035336,0.001115,123.71109104553858,-348.545715,-12162.814453,896.105103,-2.004903,-4.616654,-198.344055,-97.448822,-127.103584,-255.999969,128.896042,0.0,47.012901,-199.387619,-97.791374,7680000,0.803022,0.584713,15.999968
0.003828,16.0,0.220765,1046.827645850593,46.25605,-203.576874,-99.695778,-203.243637,1751.755127,19585.865234,-99.505386,2.023261,0.041543,4.316128,5.611859,0.132917,0.375852,0.234704,8354.402344,0.312569,2.933058,0.035395,0.082744,0.036287,0.001106,129.82961765527725,-348.611877,-11964.370117,1018.40332,-1.95638,-4.647524,-202.590515,-99.246582,-126.341469,-256.0,129.658234,0.0,45.863392,-203.577057,-99.505569,8064000,0.797255,0.586388,15.999986
0.004051,16.0,0.3825,1047.1361931882007,46.903313,-206.040894,-101.06459,-205.666183,1804.97876,20437.226562,-100.847054,2.084454,0.040772,4.204425,5.572815,0.132516,0.374228,0.231634,8244.092773,0.294776,2.897996,0.035233,0.082404,0.036161,0.001101,135.9464138229688,-351.529419,-11935.254883,1001.785583,-1.916296,-4.667835,-205.073212,-100.650955,-125.855049,-255.999969,130.144577,0.0,46.520576,-206.040741,-100.847031,8448000,0.818325,0.597173,15.999982
0.004097,16.0,0.461021,1046.7602036111743,47.725956,-208.210724,-101.610298,-207.845459,1850.7948,21176.730469,-101.4086,2.050809,0.038936,4.116055,5.410573,0.13215,0.367741,0.226058,8097.474121,0.28779,2.865904,0.033773,0.079215,0.034638,0.00108,142.0666099747022,-356.06192,-12027.083984,980.381592,-1.9224,-4.722001,-207.230865,-101.223221,-126.51429,-255.999969,129.485382,0.0,47.35516,-208.210983,-101.408913,8832000,0.821336,0.586667,15.999996
0.004113,16.0,0.362479,1047.42241763799,48.678993,-210.195374,-101.297485,-209.809555,1887.256104,21762.025391,-101.111572,1.56521,0.037715,4.049416,5.192812,0.132051,0.370973,0.218011,7938.761719,0.269989,2.178892,0.032647,0.076735,0.033428,0.001066,148.18151755730312,-361.786133,-12167.741211,920.91333,-1.94678,-4.789504,-209.180191,-100.900093,-127.268593,-256.0,128.73114,0.0,48.322208,-210.195358,-101.111725,9216000,0.835526,0.577717,15.99999
