B,B_norm,F1,FPS,M1,Q1,Q_aux,Q_discriminator,Q_fb,actor_loss,auxQ1,aux_critic_loss,aux_rew/limits_dof_pos,aux_rew/limits_torque,aux_rew/penalty_action_rate,aux_rew/penalty_ankle_roll,aux_rew/penalty_feet_ori,aux_rew/penalty_slippage,aux_rew/penalty_torques,aux_rew/penalty_undesired_contact,critic_loss,disc_expert_loss,disc_loss,disc_train_loss,disc_wgan_gp_loss,duration [minutes],fb_diag,fb_loss,fb_offdiag,mean_aux_reward,mean_disc_reward,mean_next_Q,mean_next_auxQ,orth_loss,orth_loss_diag,orth_loss_offdiag,q_loss,target_M,target_Q,target_auxQ,timestep,unc_Q,unc_auxQ,z_norm
0.013314,11.313223,0.495521,1738.8139083591018,46.862793,-232.529907,-114.241486,-232.219269,691.561707,8925.03418,-114.020981,2.534856,0.266456,9.203432,9.660512,0.135641,0.714441,0.290468,35913.988281,0.96678,6.217371,0.010939,0.038446,0.011125,0.001638,43.293132372697194,-169.468002,-5886.419434,665.757568,-2.494012,-5.176714,-231.45639,-113.411301,-63.827,-128.0,64.172859,0.0,46.678818,-232.529709,-114.021919,4608000,1.073931,0.78488,11.313238
0.013142,11.313223,0.237073,1739.5193889147167,47.142078,-231.708847,-119.965675,-231.415604,711.387329,9234.679688,-119.733498,2.350833,0.246437,8.800735,8.570923,0.136048,0.720099,0.277085,32018.097656,0.96396,6.054773,0.011272,0.037781,0.011513,0.0015,46.97766744295756,-173.002228,-5900.24707,646.008118,-2.496527,-5.174086,-230.621826,-119.242592,-63.732483,-127.999985,64.267418,0.0,46.956417,-231.709641,-119.733513,4992000,1.073393,0.774394,11.313233
0.012881,11.313223,0.02669,1738.7970848797536,48.153202,-233.577667,-125.203423,-233.26767,740.95697,9761.674805,-124.96756,2.463177,0.230481,8.225909,7.486252,0.136242,0.739651,0.267379,28074.451172,0.966885,5.321106,0.010949,0.035699,0.011188,0.001356,50.66321133772532,-175.383545,-5948.69873,610.496277,-2.579227,-5.235295,-232.475891,-124.48381,-63.83823,-127.999985,64.16172,0.0,47.983433,-233.577454,-124.96801,5376000,1.05216,0.805343,11.313245
0.012709,11.313223,-0.29515,1738.33036033991,49.690521,-235.681915,-129.771393,-235.38623,769.273499,10283.585938,-129.453857,2.952461,0.206516,7.523873,6.850807,0.136313,0.743245,0.256046,23763.869141,0.964668,5.849521,0.010962,0.034498,0.011229,0.001231,54.34937730630239,-177.559021,-5967.641113,586.25238,-2.650952,-5.282133,-234.576813,-128.975693,-63.763329,-128.0,64.23661,0.0,49.547375,-235.68248,-129.454483,5760000,1.050293,0.832158,11.31326
0.012454,11.313223,-0.245956,1734.9510308503934,49.18351,-238.301224,-135.785492,-237.986053,813.788879,11082.581055,-135.422546,3.146476,0.180069,6.97405,6.498581,0.136263,0.72599,0.243036,20248.392578,0.959753,5.868732,0.010608,0.032561,0.010859,0.001109,58.0437442501386,-180.306061,-5977.664062,581.280579,-2.781878,-5.335298,-237.18895,-134.912506,-63.786274,-127.999985,64.213638,0.0,49.02494,-238.30191,-135.423126,6144000,1.064144,0.87139,11.313249
0.011957,11.313223,-0.422237,1737.286198211216,47.916859,-238.899124,-144.116608,-238.559311,837.160828,11566.303711,-143.679398,3.649639,0.153463,6.431475,6.558785,0.136108,0.688203,0.230937,17039.076172,0.934906,6.115868,0.010917,0.032457,0.011207,0.001033,61.733327404658,-181.279099,-5906.228027,636.482483,-2.927619,-5.329142,-237.791565,-143.166245,-63.614197,-128.0,64.385704,0.0,47.729725,-238.898911,-143.68013,6528000,1.089947,0.917985,11.313271
0.012044,11.313223,-0.072831,1733.091859355291,46.886906,-239.369827,-152.454529,-238.986664,842.287231,11795.774414,-151.972122,3.841366,0.143401,6.080878,6.400362,0.135998,0.687468,0.230378,15688.651367,0.915488,5.680901,0.011067,0.031974,0.011403,0.00095,65.43066871563593,-183.817871,-5937.297852,622.932983,-3.024287,-5.33704,-238.269379,-151.516998,-63.76413,-128.0,64.235809,0.0,46.674274,-239.370102,-151.972244,6912000,1.080035,0.941693,11.313278
0.012269,11.313223,0.330242,1739.2443750043715,46.103447,-238.686371,-158.465546,-238.353088,870.28241,12260.989258,-157.97287,3.991777,0.134234,5.754849,6.522885,0.135752,0.668984,0.237443,14676.233398,0.890598,6.806938,0.011854,0.033157,0.012238,0.000907,69.11593166192372,-185.158249,-5899.043945,649.986877,-3.00258,-5.270321,-237.627686,-157.647644,-63.638702,-127.999985,64.361206,0.0,45.871239,-238.68721,-157.973068,7296000,1.105145,0.971823,11.313282
0.012264,11.313223,0.36636,1738.5201862552856,46.785984,-238.168808,-161.180817,-237.857788,921.286072,13005.055664,-160.764099,3.763892,0.128177,5.508492,6.464711,0.135589,0.655593,0.240548,13911.725586,0.865731,6.507014,0.012185,0.033418,0.012561,0.000867,72.80198871692022,-186.476807,-5895.613281,667.134827,-3.014878,-5.253387,-237.127075,-160.490051,-63.762676,-128.0,64.237251,0.0,46.566078,-238.169312,-160.764145,7680000,1.084442,0.95647,11.313277
0.012303,11.313223,0.431837,1746.8281789204277,49.171432,-234.026306,-159.165878,-233.666183,961.635803,13333.635742,-158.822678,3.497366,0.117151,5.166831,6.679595,0.135022,0.612464,0.245782,12962.813477,0.809955,5.647346,0.014444,0.038131,0.014914,0.000877,76.47022849321365,-187.922516,-5926.750488,630.171082,-2.910093,-5.155612,-233.009766,-158.622635,-63.689911,-127.999985,64.309998,0.0,48.995495,-234.026932,-158.822479,8064000,1.064698,0.943512,11.313288
